,ticker,5 YR Open,5 YR Close,Percentage Change,Annualized % Change,eps 2019,eps 2020,eps 2021,eps 2022,eps 2023,AVG Annual EPS,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
94,cme,164.5800,215.2900,30.81176327621824,6.162352655243648,6.8,6.73,6.69,7.98,9.34,7.508,CME Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/121b709a86980d7eb8db8589918a76d3db9e4e428b05857011dbd8957fd059bf.png,https://www.cmegroup.com/,BB,Medium,B,Medium,B,Medium,375,237,200,812,26-07-2022,BB,Medium,1156375
95,csco,53.9900,49.9100,-7.556954991665132,-1.5113909983330265,3.09,3.2,3.22,3.36,3.88,3.35,Cisco Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/ca223cac-80df-11ea-a99c-00000000092a.png,https://www.cisco.com/,B,Medium,B,Medium,B,Medium,280,234,220,734,11-06-2022,B,Medium,858877
96,ctas,202.1100,687.0300,239.9287516698827,47.98575033397654,7.6,8.1,10.24,11.37,12.98,10.058000000000002,Cintas Corp,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,https://static.finnhub.io/logo/cb889e02-80df-11ea-80b6-00000000092a.png,https://www.cintas.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,16-04-2022,BBB,High,723254
97,czr,46.6900,43.7400,-6.318269436710207,-1.2636538873420413,1.04,-12.26,-4.59,-4.21,-0.72,-4.148000000000001,Caesars Entertainment Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static.finnhub.io/logo/45d618da-80cc-11ea-884e-00000000092a.png,https://www.caesars.com/,B,Medium,B,Medium,B,Medium,265,228,200,693,16-04-2022,B,Medium,1590895
98,dltr,105.0400,133.1500,26.761233815689263,5.3522467631378525,8.97,7.75,9.19,10.12,7.21,8.648,Dollar Tree Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/d277a94a-80df-11ea-8f0a-00000000092a.png,https://www.dollartree.com/,B,Medium,B,Medium,B,Medium,235,208,215,658,17-04-2022,B,Medium,935703
99,dxcm,119.1000,138.7000,16.456759026028543,3.2913518052057085,0.46,0.78,0.66,0.87,1.51,0.8560000000000001,Dexcom Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/fb3c517a-80df-11ea-a0a0-00000000092a.png,https://www.dexcom.com/,B,Medium,B,Medium,B,Medium,215,236,215,666,17-04-2022,B,Medium,1093557
100,ea,101.6300,132.6700,30.542162747220303,6.1084325494440606,4.25,4.82,5.76,7.03,6.5,5.672,Electronic Arts Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/556815ac-80e0-11ea-bb14-00000000092a.png,https://www.ea.com/,BB,Medium,BB,Medium,B,Medium,360,300,225,885,17-04-2022,BB,Medium,712515
101,lnt,47.1300,50.4000,6.938255887969437,1.3876511775938876,2.33,2.42,2.62,2.76,2.79,2.584,Alliant Energy Corp,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/1981fcae-80ec-11ea-a4b8-00000000092a.png,https://www.alliantenergy.com/,A,High,BB,Medium,BB,Medium,519,307,300,1126,16-04-2022,BBB,High,352541
102,fang,101.5300,198.1700,95.18368954988672,19.036737909977344,6.49,3.04,11.27,24.04,18.01,12.569999999999999,Diamondback Energy Inc,USD,NASDAQ NMS - GLOBAL MARKET,Energy,https://static.finnhub.io/logo/fe1ab98ccc6f7867a191970f03152cff56846b7811399704b9d4be280d895b5b.png,https://ir.diamondbackenergy.com/,A,High,B,Medium,BB,Medium,513,271,300,1084,17-04-2022,BBB,High,1539838
103,ebay,37.1400,52.7800,42.110931610123856,8.422186322024771,2.83,3.56,4.03,4.11,4.24,3.7540000000000004,eBay Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/919a6270-826a-11ea-abe9-00000000092a.png,https://www.ebayinc.com/,A,High,BB,Medium,BB,Medium,500,302,305,1107,17-04-2022,BBB,High,1065088
104,lkq,28.3800,53.4100,88.19591261451725,17.63918252290345,2.36,2.54,3.96,3.84,3.83,3.3059999999999996,LKQ Corp,USD,NASDAQ NMS - GLOBAL MARKET,Distributors,https://static.finnhub.io/logo/0846719a1ab7311db60cef58b6985f4e9269ceb9eaf89e63efc354b2188280a1.png,https://www.lkqcorp.com/,A,High,BB,Medium,BB,Medium,515,300,305,1120,18-04-2022,BBB,High,1065696
105,googl,1176.8900,150.9300,-87.17552192643322,-17.435104385286643,2.459,2.9435,5.6,4.55,5.8,4.2705,Alphabet Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOGL.png,https://abc.xyz/,B,Medium,BB,Medium,BB,Medium,295,362,355,1012,30-04-2022,BBB,High,1652044
106,mar,125.0900,252.3100,101.70277400271803,20.340554800543607,6.01,-0.2,3.18,6.7,10.03,5.144,Marriott International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static.finnhub.io/logo/1f7dc93a-80ec-11ea-a5dc-00000000092a.png,https://www.marriott.com/,B,Medium,B,Medium,B,Medium,215,200,215,630,18-04-2022,B,Medium,1048286
107,mchp,82.9600,89.7100,8.13645130183221,1.627290260366442,3.29,2.82,3.3,4.61,6.03,4.01,Microchip Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/35e836b8-80e0-11ea-855a-00000000092a.png,https://www.microchip.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,18-04-2022,BBB,High,827054
108,lrcx,179.0100,971.5700,442.74621529523495,88.54924305904699,14.55,15.95,27.28,33.12,34.1,25.0,Lam Research Corp,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/b05d9f52-80e0-11ea-8823-00000000092a.png,https://www.lamresearch.com/,A,High,BB,Medium,BB,Medium,510,325,315,1150,18-04-2022,BBB,High,707549
109,mdlz,49.9200,70.0000,40.22435897435897,8.044871794871794,2.47,2.62,2.85,2.98,3.31,2.8460000000000005,Mondelez International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,https://static.finnhub.io/logo/10b5dc9a-80ec-11ea-897a-00000000092a.png,https://www.mondelezinternational.com/,A,High,BB,Medium,BB,Medium,520,307,300,1127,18-04-2022,BBB,High,1103982
110,meta,166.6900,485.5800,191.30721698962145,38.26144339792429,8.56,9.79,13.8,8.58,14.9,11.126000000000001,Meta Platforms Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FB.png,https://www.facebook.com,B,Medium,B,Medium,B,Medium,205,232,215,652,22-04-2022,B,Medium,1326801
111,mktx,246.0800,219.2500,-10.902958387516259,-2.180591677503252,5.4,7.85,6.77,6.65,7.1,6.754,Marketaxess Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/4a309d80-80e1-11ea-8514-00000000092a.png,https://www.marketaxess.com/,B,Medium,B,Medium,B,Medium,230,213,210,653,18-04-2022,B,Medium,1278021
112,mnst,54.5800,59.2800,8.611212898497623,1.7222425796995247,2.07,2.68,2.57,2.23,1.58,2.226,Monster Beverage Corp,USD,NASDAQ NMS - GLOBAL MARKET,Beverages,https://static.finnhub.io/logo/18126d0c-80e0-11ea-a414-00000000092a.png,http://monsterbevcorp.com/,A,High,BB,Medium,BB,Medium,515,344,300,1159,18-04-2022,BBB,High,865752
113,mrna,20.3500,106.5600,423.6363636363636,84.72727272727272,-1.55,-1.94,28.29,19.96,-12.41,6.4700000000000015,Moderna Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/a024deee-80da-11ea-9046-00000000092a.png,https://www.modernatx.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,18-04-2022,BBB,High,1682852
114,mtch,56.6100,36.2800,-35.9123829712065,-7.182476594241299,1.81,2,2.09,2.04,2.28,2.044,Match Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/4295908221.png,https://www.mtch.com/,B,Medium,BB,Medium,BB,Medium,245,389,311,945,18-04-2022,BBB,High,891103
115,mpwr,135.4900,677.4200,399.9778581445125,79.9955716289025,3.88,5.03,7.45,12.4,11.78,8.108,Monolithic Power Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/3ec1921c-80e1-11ea-b9d8-00000000092a.png,https://www.monolithicpower.com/,BB,Medium,B,Medium,B,Medium,330,287,235,852,18-04-2022,BB,Medium,1280452
116,msft,117.9400,420.7200,256.72375784297105,51.34475156859421,4.75,5.75,7.97,9.2,9.81,7.4959999999999996,Microsoft Corp,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/25e313016e9fac0f4b78bbd7e3afded45a8136b17f450c262aea14beed438191.png,https://www.microsoft.com/en-us,AA,Excellent,BBB,High,BB,Medium,715,443,375,1533,27-04-2022,A,High,789019
117,mu,41.3300,117.8900,185.24074522138883,37.048149044277764,6.29,2.83,6.06,8.34,-4.45,3.814,Micron Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/33e8930c-80ec-11ea-a30a-00000000092a.png,https://www.micron.com/,A,High,BB,Medium,BB,Medium,530,330,300,1160,18-04-2022,BBB,High,723125
118,ndaq,87.4900,63.1000,-27.87747171105269,-5.575494342210538,1.67,2.05,2.51,2.67,2.83,2.3459999999999996,Nasdaq Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NDAQ_8589934167.png,https://www.nasdaq.com/,A,High,BB,Medium,BB,Medium,505,310,300,1115,18-04-2022,BBB,High,1120193
120,ntrs,90.4100,88.9200,-1.6480477823249584,-0.3296095564649917,6.72,5.98,7.2,6.14,6.02,6.412000000000001,Northern Trust Corp,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/729a6714ac01ab49a6f558cdeaf2d29037d313f87e6acd4af638a8152a23b9fc.png,https://www.northerntrust.com/united-states/,B,Medium,B,Medium,B,Medium,250,226,225,701,18-04-2022,B,Medium,73124
121,nwl,15.3400,8.0300,-47.65319426336376,-9.530638852672752,1.74,1.79,1.82,1.62,0.79,1.552,Newell Brands Inc,USD,NASDAQ NMS - GLOBAL MARKET,Consumer products,https://static.finnhub.io/logo/43c3da30-80ec-11ea-a6ea-00000000092a.png,https://www.newellbrands.com/,A,High,BB,Medium,BB,Medium,525,303,315,1143,18-04-2022,BBB,High,814453
122,nvda,179.5600,903.5600,403.2078413900646,80.64156827801291,1.66,1.45,2.51,4.45,3.33,2.6799999999999997,NVIDIA Corp,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NVDA.png,https://www.nvidia.com/,BB,Medium,BB,Medium,B,Medium,323,301,275,899,18-04-2022,BB,Medium,1045810
123,allk,40.5000,1.2600,-96.88888888888889,-19.377777777777776,-1.89,-3.09,-5,-5.53,-2.13,-3.528,Allakos Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/7358df46-81d5-11ea-b3b3-00000000092a.png,http://www.allakos.com/,B,Medium,B,Medium,BB,Medium,200,273,300,773,10-06-2022,BB,Medium,1564824
124,nwsa,12.4400,26.1800,110.45016077170418,22.090032154340836,0.46,0.22,0.67,1.2,0.49,0.608,News Corp,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/38632848-80ce-11ea-a34f-00000000092a.png,https://newscorp.com/,A,High,BB,Medium,BB,Medium,509,300,300,1109,18-04-2022,BBB,High,1564708
125,odfl,144.3900,219.3100,51.88724980954361,10.377449961908722,5.1,5.74,8.89,12.18,11.26,8.634,Old Dominion Freight Line Inc,USD,NASDAQ NMS - GLOBAL MARKET,Road and Rail,https://static.finnhub.io/logo/8b7ba59a51614579f97c95184c2a54ab36d44842d9bf5350e077217523059382.png,https://www.odfl.com/,BBB,High,BBB,High,B,Medium,467,423,280,1170,18-04-2022,BBB,High,878927
126,pcar,68.1400,123.8900,81.81684766656883,16.363369533313765,4.59,2.5,3.54,5.76,9.62,5.202,Paccar Inc,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,https://static4.finnhub.io/file/publicdatany2/stock_logo/PCAR_4295907525.jpg,https://www.paccar.com/,A,High,BB,Medium,BB,Medium,568,343,305,1216,18-04-2022,A,High,75362
127,nxpi,88.3900,247.7700,180.31451521665346,36.06290304333069,7.58,6.16,10.68,14.3,14.03,10.55,NXP Semiconductors NV,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/86154d10-80c9-11ea-9926-00000000092a.png,https://www.nxp.com/,A,High,BB,Medium,BB,Medium,505,329,305,1139,18-04-2022,BBB,High,1413447
128,orly,388.3000,1128.8800,190.72366726757664,38.14473345351533,17.89,23.54,31.1,33.49,38.49,28.901999999999997,O'Reilly Automotive Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/e7e4dff0-826a-11ea-8801-00000000092a.png,https://corporate.oreillyauto.com/corporate/,A,High,BB,Medium,BB,Medium,500,300,300,1100,18-04-2022,BBB,High,898173
129,payx,80.2000,122.8000,53.11720698254363,10.623441396508726,2.84,2.99,3.04,3.76,4.28,3.3819999999999992,Paychex Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/acaa8fac-80e0-11ea-9d58-00000000092a.png,https://www.paychex.com/,A,High,BB,Medium,B,Medium,500,300,200,1000,26-07-2022,BBB,High,723531
130,pfg,50.1900,86.3100,71.96652719665273,14.393305439330547,5.59,4.94,6.77,6.67,6.56,6.106,Principal Financial Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/52a59ab6-80ec-11ea-b750-00000000092a.png,https://www.principal.com/,A,High,BB,Medium,BB,Medium,555,320,300,1175,18-04-2022,BBB,High,1126328
131,rost,93.1000,146.7600,57.63694951664876,11.527389903329752,7.67,1.28,1.67,4.86,4.33,3.9620000000000006,Ross Stores Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/d0674d8a-826a-11ea-8077-00000000092a.png,https://www.rossstores.com/,BB,Medium,BB,Medium,BB,Medium,375,325,300,1000,19-04-2022,BBB,High,745732
132,sbac,199.6600,216.7000,8.534508664730037,1.7069017329460074,1.29,1.57,2.13,4.21,4.61,2.7619999999999996,SBA Communications Corp,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,https://static.finnhub.io/logo/19c8edbbf482503d3a876417a19001cfb20a28894f61df4606c75b8d5657da21.png,https://ir.sbasite.com/overview/default.aspx,B,Medium,B,Medium,B,Medium,250,251,215,716,19-04-2022,B,Medium,1034054
133,qcom,57.0300,169.3000,196.8613010696125,39.3722602139225,3.55,4.18,8.54,12.53,8.41,7.441999999999998,Qualcomm Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/28159d10-80e1-11ea-b725-00000000092a.png,https://www.qualcomm.com/,BBB,High,BB,Medium,BB,Medium,409,300,300,1009,19-04-2022,BBB,High,804328
134,pool,164.9700,403.5000,144.58992544098928,28.917985088197856,6.41,9.14,15.93,18.46,13.32,12.652000000000001,Pool Corp,USD,NASDAQ NMS - GLOBAL MARKET,Distributors,https://static.finnhub.io/logo/ac59de52-80e0-11ea-9ff4-00000000092a.png,https://www.poolcorp.com/,A,High,BB,Medium,BB,Medium,525,306,313,1144,18-04-2022,BBB,High,945841
